118099,"0,00%"
119090,"0,01%"
134961,"0,01%"
148026,"0,01%"
437306,"0,01%"
518344,"0,02%"
589008,"0,02%"
819087,"0,02%"
850297,"0,02%"
868228,"0,03%"
971508,"0,03%"
1023173,"0,03%"
1029459,"0,03%"
1046954,"0,04%"
1439045,"0,04%"
1588589,"0,04%"
1604622,"0,04%"
1822050,"0,05%"
1928636,"0,05%"
1933545,"0,05%"
1971530,"0,05%"
2311333,"0,06%"
2314657,"0,06%"
2842227,"0,06%"
2965526,"0,06%"
3252219,"0,07%"
3991492,"0,07%"
4054590,"0,07%"
4170183,"0,07%"
4541709,"0,08%"
4849021,"0,08%"
4944411,"0,08%"
4987799,"0,08%"
4992613,"0,09%"
5030370,"0,09%"
5297816,"0,09%"
5458306,"0,09%"
5672177,"0,10%"
5776848,"0,10%"
7658008,"0,10%"
8032894,"0,10%"
8098845,"0,11%"
8342277,"0,11%"
9108013,"0,11%"
10230816,"0,11%"
10562682,"0,12%"
10567113,"0,12%"
10837645,"0,12%"
10971395,"0,12%"
11270200,"0,13%"
11371556,"0,13%"
11414879,"0,13%"
11520707,"0,13%"
12124152,"0,14%"
12430659,"0,14%"
12510195,"0,14%"
13031633,"0,14%"
13242148,"0,15%"
13361835,"0,15%"
13398458,"0,15%"
13645766,"0,15%"
13757936,"0,16%"
13821801,"0,16%"
14035408,"0,16%"
14143956,"0,16%"
14158976,"0,17%"
14184584,"0,17%"
14233992,"0,17%"
14339896,"0,17%"
14357014,"0,18%"
14462978,"0,18%"
14979590,"0,18%"
14999068,"0,18%"
15183444,"0,19%"
15387562,"0,19%"
15528608,"0,19%"
15720031,"0,19%"
15755732,"0,20%"
16236385,"0,20%"
16793753,"0,20%"
16807822,"0,20%"
17137767,"0,21%"
17151334,"0,21%"
17338364,"0,21%"
17452359,"0,21%"
17763257,"0,22%"
17911685,"0,22%"
18011561,"0,22%"
18023799,"0,22%"
18043049,"0,23%"
18048239,"0,23%"
18067106,"0,23%"
18108158,"0,23%"
18119718,"0,24%"
18161097,"0,24%"
18184391,"0,24%"
18186176,"0,24%"
18320541,"0,25%"
18346524,"0,25%"
18401502,"0,25%"
18442082,"0,25%"
18473938,"0,26%"
18609370,"0,26%"
18648303,"0,26%"
18660347,"0,26%"
18789854,"0,27%"
18930714,"0,27%"
18964682,"0,27%"
19052825,"0,27%"
19260828,"0,28%"
19599565,"0,28%"
19604176,"0,28%"
19619454,"0,28%"
19664212,"0,29%"
20006000,"0,29%"
20258659,"0,29%"
20366370,"0,29%"
20424145,"0,30%"
20476804,"0,30%"
20918048,"0,30%"
21083579,"0,30%"
21101104,"0,31%"
22307301,"0,31%"
22343438,"0,31%"
22741816,"0,31%"
22960227,"0,32%"
23056720,"0,32%"
23194537,"0,32%"
24177692,"0,32%"
24558999,"0,33%"
24739506,"0,33%"
25226122,"0,33%"
25241826,"0,33%"
25443905,"0,34%"
25593443,"0,34%"
26128036,"0,34%"
26257327,"0,34%"
26311201,"0,35%"
26345710,"0,35%"
26446158,"0,35%"
26626295,"0,35%"
27016008,"0,36%"
27045211,"0,36%"
27045317,"0,36%"
27086477,"0,37%"
27308049,"0,37%"
27377488,"0,37%"
27467341,"0,37%"
27588885,"0,38%"
27617109,"0,38%"
27636180,"0,38%"
27660381,"0,38%"
27667874,"0,39%"
27676843,"0,39%"
27721338,"0,39%"
27829721,"0,39%"
27852290,"0,40%"
27919753,"0,40%"
28440320,"0,40%"
28461173,"0,40%"
28514203,"0,41%"
28726694,"0,41%"
29044759,"0,41%"
29514516,"0,41%"
29687918,"0,42%"
29729877,"0,42%"
29895925,"0,42%"
30132898,"0,42%"
30323002,"0,43%"
30473300,"0,43%"
30548058,"0,43%"
30571698,"0,43%"
30577809,"0,44%"
30727010,"0,44%"
30992238,"0,44%"
